source,neighbor,obs,exp_perm,log2_oe,z,p,q,significant,low_expected,sample
Fibroblast,B,1718,1296.5964,0.405727822698514,12.6855441137633,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Fibroblast,T,1205,943.3442,0.352845204906138,9.2780044022768,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Schwann,Endothelial,553,489.5018,0.175627545545935,2.93354722947394,0.00679864027194561,0.00793174698393654,True,False,Patient3_DX
Schwann,Fibroblast,966,1831.0966,-0.921907778853066,-24.5870234060804,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Schwann,Schwann,483,126.756,1.92161599925692,23.7912731273081,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Schwann,Neuroblast,2362,1960.4376,0.268708190201887,11.3129881594738,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Schwann,Macrophage,909,812.741,0.161296863195482,3.67795453747813,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Schwann,B,68,90.2254,-0.402839209780842,-2.38623028844985,0.0167966406718656,0.0191403579749166,True,False,Patient3_DX
Schwann,T,35,65.2416,-0.87974061356773,-3.82078362341098,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,Endothelial,1576,7573.1662,-2.26390441851206,-77.2431831426515,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,Fibroblast,2586,28293.1362,-3.45115113449677,-185.055945455428,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,Schwann,2231,1960.8134,0.186149202580986,6.56877902100364,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,Neuroblast,70068,30320.2624,1.20844648660299,243.464979566338,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,Macrophage,5930,12570.147,-1.08376901133947,-67.7537555427731,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,B,352,1389.6254,-1.97799375733469,-29.8863885231245,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Neuroblast,T,375,1010.8494,-1.4281900134898,-22.078179766438,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Macrophage,Endothelial,2699,3139.0818,-0.217842734935446,-8.59505796865187,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Macrophage,Fibroblast,10629,11726.1354,-0.141709050859895,-12.3880887171425,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Macrophage,Schwann,950,812.8962,0.224600528528112,5.01299724941614,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Macrophage,Neuroblast,6812,12570.6662,-0.88381375977113,-63.5887645621538,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Macrophage,Macrophage,12128,5208.0462,1.21936947165464,82.2090437772919,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Macrophage,B,614,576.2952,0.091277180541803,1.63962111836518,0.108778244351129,0.113407105812879,False,False,Patient3_DX
Macrophage,T,620,418.879,0.56461963400819,9.97474850230316,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
B,Endothelial,147,347.1844,-1.23425439029731,-11.0505654175903,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
B,Fibroblast,1642,1296.8338,0.340226835986326,11.6427592115825,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
B,Schwann,71,90.1916,-0.340904031908828,-2.07097594004271,0.0343931213757248,0.0374502877202337,True,False,Patient3_DX
B,Neuroblast,391,1389.6142,-1.82679666707861,-33.8183880374604,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
B,Macrophage,602,576.3444,0.0627258237280613,1.1621050501946,0.257948410317936,0.263322335532893,False,False,Patient3_DX
B,B,806,63.5066,3.64504999079806,69.6997927129813,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
B,T,151,46.325,1.68339691262724,15.7361763517894,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
T,Endothelial,226,252.857,-0.161323744808776,-1.76975143669325,0.0795840831833633,0.0847743494779305,False,False,Patient3_DX
T,Fibroblast,1140,943.5874,0.272542595233348,7.90295587667208,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
T,Schwann,36,65.2642,-0.840704377397229,-3.69995653682616,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
T,Neuroblast,442,1011.1598,-1.19205847711509,-22.5774833340546,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
T,Macrophage,599,419.2922,0.513569818263479,9.46084222023626,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
