id,umap1,umap2,T_subtype
2267_Patient1_0DPHBP,4.8133183,3.2083285,Naive/CM T
2274_Patient1_0DPHBP,0.91462356,3.6678061,Proliferating T
2277_Patient1_0DPHBP,7.7160892,1.6327713,Naive/CM T
2278_Patient1_0DPHBP,2.7711163,1.2664146,Cytotoxic T
2279_Patient1_0DPHBP,4.366131,6.146662,Naive/CM T
2281_Patient1_0DPHBP,6.1330523,1.0243485,Naive/CM T
2282_Patient1_0DPHBP,1.4812647,5.2477994,gdT
2291_Patient1_0DPHBP,3.3282428,1.6017083,Cytotoxic T
2298_Patient1_0DPHBP,2.073874,1.6706781,gdT
2300_Patient1_0DPHBP,4.132082,3.2475214,Naive/CM T
2302_Patient1_0DPHBP,5.35969,2.4431636,Naive/CM T
2338_Patient1_0DPHBP,1.8108555,5.532325,Naive/CM T
2341_Patient1_0DPHBP,4.073893,5.009149,Treg
2344_Patient1_0DPHBP,4.653856,3.3277054,Naive/CM T
2347_Patient1_0DPHBP,4.4481964,2.7153716,Naive/CM T
2349_Patient1_0DPHBP,1.9370327,2.0328426,Cytotoxic T
2351_Patient1_0DPHBP,5.078484,3.0567029,Naive/CM T
